Year,CPI
1974,0.000833333
1975,0.01
1976,0.01
1977,0.01
1978,0.014166667
1979,0.026666667
1980,0.060833333
1981,0.133333333
1982,0.295
1983,0.721666667
1984,3.416666667
1985,13.83166667
1986,20.49333333
1987,24.56166667
1988,28.5475
1989,34.3275
1990,40.22333333
1991,47.86666667
1992,53.58583333
1993,59.45083333
1994,66.78833333
1995,73.49583333
1996,81.78333333
1997,89.14583333
1998,93.98916667
1999,98.8725
2000,99.985
2001,101.1
2002,106.85
2003,107.5658333
2004,107.1191667
2005,108.5433333
2006,110.8316667
2007,111.4025
2008,116.5208333
2009,120.3858333
2010,123.63
2011,127.8925
2012,130.0775
2013,132.065
2014,132.6933333
2015,131.8541667
2016,131.1341667
2017,131.4516667
2018,132.51
2019,133.64
